date,event_timestamp_utc,indicator_type,event,country,actual,forecast,previous,revision,unit,importance,calendar_id,ticker,source,source_url,provider,provider_endpoint,point_in_time
2023-03-01,2023-03-01T15:00:00+00:00,pmi,ISM Manufacturing PMI,United States,47.7,47.9,47.4,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-03-09,2023-03-09T20:30:00+00:00,nfp,Non-Farm Employment Change,United States,311000.0,224000.0,504000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-03-09,2023-03-09T20:30:00+00:00,unemployment,Unemployment Rate,United States,3.6,3.4,3.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-03-13,2023-03-13T20:30:00+00:00,core_cpi,Core CPI m/m,United States,0.5,0.4,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-03-13,2023-03-13T20:30:00+00:00,cpi,CPI m/m,United States,0.4,0.4,0.5,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-03-14,2023-03-14T20:30:00+00:00,retail_sales,Retail Sales m/m,United States,-0.4,-0.3,3.2,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-03,2023-04-03T13:00:00+00:00,pmi,ISM Manufacturing PMI,United States,46.3,47.5,47.7,,index,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-06,2023-04-06T19:30:00+00:00,nfp,Non-Farm Employment Change,United States,236000.0,228000.0,326000.0,,persons,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-06,2023-04-06T19:30:00+00:00,unemployment,Unemployment Rate,United States,3.5,3.6,3.6,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
2023-04-11,2023-04-11T19:30:00+00:00,cpi,CPI m/m,United States,0.1,0.2,0.4,,percent,High Impact Expected,,,ForexFactory,https://www.forexfactory.com/calendar,ForexFactory,https://huggingface.co/datasets/Ehsanrs2/Forex_Factory_Calendar/resolve/main/forex_factory_cache.csv,True
