cluster_all_aligned,cluster_coherence,cluster_signal,cluster_size,dominant_mad_actionable,dominant_mad_directional_hit_30m,dominant_z_mad,dominant_z_std,event_time_utc,indicators,max_abs_mad_z,mean_abs_mad_z,mean_signed_surprise,post_240m_hit,post_240m_mae_bps,post_240m_mfe_bps,post_240m_observed_bars,post_240m_usd_bps,post_30m_hit,post_30m_mae_bps,post_30m_mfe_bps,post_30m_observed_bars,post_30m_usd_bps,post_60m_hit,post_60m_mae_bps,post_60m_mfe_bps,post_60m_observed_bars,post_60m_usd_bps,pre_240m_abs_bps,pre_240m_aligned,pre_240m_usd_bps,pre_30m_abs_bps,pre_30m_aligned,pre_30m_usd_bps,pre_60m_abs_bps,pre_60m_aligned,pre_60m_usd_bps,pre_atr_bps,pre_realized_vol_bps,trade_240m_gross_bps,trade_30m_gross_bps,trade_60m_gross_bps,year
False,0.5,1,2,False,False,0.674491,0.909195,2021-12-10T13:30:00+00:00,core_cpi+cpi,0.674491,0.337245,0.05,False,-50.4105,0.0888,8,-42.6892,False,-37.2753,0.0888,1,-23.0752,False,-37.2753,0.0888,2,-12.9576,13.2064,True,13.2064,0.0888,True,0.0888,10.3731,True,10.3731,7.737930021209825,9.693884927866222,-42.6892,-23.0752,-12.9576,2021
True,1,-1,1,True,True,-1.348982,-0.33421,2021-12-15T13:30:00+00:00,retail_sales,1.348982,1.348982,-0.5,True,-13.233,10.4799,8,-3.2861,True,-12.9666,0.8881,1,-12.2561,False,-13.233,0.8881,2,0.3552,10.6461,False,10.6461,0.0,False,0.0,3.3737,False,3.3737,7.642169589682738,6.2871171072699985,3.2861,12.2561,-0.3552,2021
True,1,-1,1,False,False,-0.730698,-0.704883,2022-01-04T15:00:00+00:00,pmi,0.730698,0.730698,-1.3,False,-33.6742,4.608,8,3.8105,True,-28.2686,1.0634,1,-24.1036,True,-33.6742,1.0634,2,-21.6224,2.7479,True,-2.7479,0.0,False,0.0,2.8365,True,-2.8365,10.669509481134083,10.025477242401012,-3.8105,24.1036,21.6224,2022
False,0,0,2,True,False,-2.734096,-0.183209,2022-01-07T13:30:00+00:00,nfp+unemployment,2.734096,2.041539,-113499.9,False,-51.1486,7.2564,8,-49.8212,False,-19.6453,7.2564,1,-1.1504,False,-21.4152,7.2564,2,-20.5302,12.815,,12.815,0.0,,0.0,2.5669,,-2.5669,6.478550980580777,2.580646582358034,,,,2022
True,1,1,2,False,False,0.674491,0.717137,2022-01-12T13:30:00+00:00,core_cpi+cpi,0.674491,0.674491,0.1,False,-64.6552,5.5419,8,-61.1365,False,-41.784,5.5419,1,-36.6819,False,-41.784,5.5419,2,-37.8255,0.7918,False,-0.7918,0.0,False,0.0,3.872,False,-3.872,7.304120171436919,12.551195015021834,-61.1365,-36.6819,-37.8255,2022
True,1,-1,1,True,False,-3.661521,-1.201421,2022-01-14T13:30:00+00:00,retail_sales,3.661521,3.661521,-1.9,False,-8.8247,36.6096,8,33.8136,False,-8.8247,10.3975,1,5.9414,False,-8.8247,13.106,2,7.3394,11.52,False,11.52,0.0874,True,-0.0874,1.136,True,-1.136,7.476156577913929,2.8931904468931884,-33.8136,-5.9414,-7.3394,2022
True,1,1,1,True,True,3.083386,2.148002,2022-01-27T13:30:00+00:00,gdp,3.083386,3.083386,1.6,True,-5.1091,22.5877,8,7.5292,True,-1.2549,19.3609,1,6.2744,True,-1.2549,19.3609,2,4.5713,35.7254,True,35.7254,0.0,False,0.0,0.9859,True,0.9859,11.290494495096343,8.408426165882178,7.5292,6.2744,4.5713,2022
True,1,1,1,False,False,0.112415,0.108444,2022-02-01T15:00:00+00:00,pmi,0.112415,0.112415,0.2,True,-1.5093,25.8354,8,13.4948,True,-1.5093,11.1865,1,4.3503,True,-1.5093,16.1582,2,14.3826,9.6678,True,9.6678,0.0,False,0.0,5.1467,True,5.1467,9.97472897535793,4.1162600131493,13.4948,4.3503,14.3826,2022
False,0,0,2,True,False,4.299879,0.288131,2022-02-04T13:30:00+00:00,nfp+unemployment,4.299879,2.487185,178499.95,False,-0.2618,42.7552,8,2.5304,False,0.0,34.0296,1,21.2031,False,0.0,34.0296,2,19.9815,2.0937,,2.0937,0.4363,,-0.4363,3.8378,,3.8378,11.872609678633845,9.053758338088432,,,,2022
True,1,1,2,True,True,1.348982,1.434274,2022-02-10T13:30:00+00:00,core_cpi+cpi,1.348982,1.011736,0.15,False,-51.9431,53.1673,8,-33.2296,True,-0.1749,46.9586,1,24.2226,True,-0.1749,53.1673,2,44.7725,6.5542,True,6.5542,0.0874,False,-0.0874,0.6995,True,0.6995,6.994564702929065,8.14913396516994,-33.2296,24.2226,44.7725,2022
